Date,Open,High,Low,Close,Volume
1959-04-21,58.11,58.11,58.11,58.11,2027778
1959-04-22,57.73,57.73,57.73,57.73,1905556
1959-04-23,57.6,57.6,57.6,57.6,1838889
1959-04-24,57.96,57.96,57.96,57.96,2105556
1959-04-27,58.14,58.14,58.14,58.14,2138889
1959-04-28,57.92,57.92,57.92,57.92,2177778
1959-04-29,57.69,57.69,57.69,57.69,1927778
1959-04-30,57.59,57.59,57.59,57.59,1950000
1959-05-01,57.65,57.65,57.65,57.65,1677778
1959-05-04,57.65,57.65,57.65,57.65,1700000
1959-05-05,57.75,57.75,57.75,57.75,1866667
1959-05-06,57.61,57.61,57.61,57.61,2283333
1959-05-07,56.88,56.88,56.88,56.88,2516667
1959-05-08,57.32,57.32,57.32,57.32,2183333
1959-05-11,57.96,57.96,57.96,57.96,2144444
1959-05-12,57.96,57.96,57.96,57.96,1972222
1959-05-13,57.97,57.97,57.97,57.97,1966667
1959-05-14,58.37,58.37,58.37,58.37,2033333
1959-05-15,58.16,58.16,58.16,58.16,1950000
1959-05-18,58.15,58.15,58.15,58.15,1650000
1959-05-19,58.32,58.32,58.32,58.32,1761111
1959-05-20,58.09,58.09,58.09,58.09,1972222
1959-05-21,58.14,58.14,58.14,58.14,1794444
1959-05-22,58.33,58.33,58.33,58.33,1683333
1959-05-25,58.18,58.18,58.18,58.18,1811111
1959-05-26,58.09,58.09,58.09,58.09,1616667
1959-05-27,58.19,58.19,58.19,58.19,1633333
1959-05-28,58.39,58.39,58.39,58.39,1650000
1959-05-29,58.68,58.68,58.68,58.68,1550000
1959-06-01,58.63,58.63,58.63,58.63,1516667
1959-06-02,58.23,58.23,58.23,58.23,1733333
1959-06-03,58.25,58.25,58.25,58.25,1616667
1959-06-04,57.63,57.63,57.63,57.63,1783333
1959-06-05,57.51,57.51,57.51,57.51,1555556
1959-06-08,56.76,56.76,56.76,56.76,1650000
1959-06-09,56.36,56.36,56.36,56.36,1938889
1959-06-10,57.19,57.19,57.19,57.19,1838889
1959-06-11,57.25,57.25,57.25,57.25,1733333
1959-06-12,57.29,57.29,57.29,57.29,1433333
1959-06-15,56.99,56.99,56.99,56.99,1338889
1959-06-16,56.56,56.56,56.56,56.56,1355556
1959-06-17,57.09,57.09,57.09,57.09,1583333
1959-06-18,57.05,57.05,57.05,57.05,1750000
1959-06-19,57.13,57.13,57.13,57.13,1255556
1959-06-22,57.13,57.13,57.13,57.13,1461111
1959-06-23,57.12,57.12,57.12,57.12,1444444
1959-06-24,57.41,57.41,57.41,57.41,1766667
1959-06-25,57.73,57.73,57.73,57.73,1805556
1959-06-26,57.98,57.98,57.98,57.98,1722222
1959-06-29,58.37,58.37,58.37,58.37,1666667
1959-06-30,58.47,58.47,58.47,58.47,1777778
1959-07-01,58.97,58.97,58.97,58.97,1750000
1959-07-02,59.28,59.28,59.28,59.28,2005556
1959-07-06,59.65,59.65,59.65,59.65,2066667
1959-07-07,60.01,60.01,60.01,60.01,2133333
1959-07-08,60.03,60.03,60.03,60.03,2227778
1959-07-09,59.97,59.97,59.97,59.97,1977778
1959-07-10,59.91,59.91,59.91,59.91,2000000
1959-07-13,59.41,59.41,59.41,59.41,1866667
1959-07-14,59.55,59.55,59.55,59.55,1794444
1959-07-15,59.59,59.59,59.59,59.59,1822222
1959-07-16,59.41,59.41,59.41,59.41,1761111
1959-07-17,59.19,59.19,59.19,59.19,1394444
1959-07-20,58.91,58.91,58.91,58.91,1388889
1959-07-21,59.41,59.41,59.41,59.41,1638889
1959-07-22,59.61,59.61,59.61,59.61,1838889
1959-07-23,59.67,59.67,59.67,59.67,1838889
1959-07-24,59.65,59.65,59.65,59.65,1511111
1959-07-27,60.02,60.02,60.02,60.02,1616667
1959-07-28,60.32,60.32,60.32,60.32,1772222
1959-07-29,60.62,60.62,60.62,60.62,1922222
1959-07-30,60.5,60.5,60.5,60.5,1800000
1959-07-31,60.51,60.51,60.51,60.51,1261111
